2018-11-12 08:00:07,IN,3
2018-11-12 08:00:58,IN,4
2018-11-12 08:01:43,IN,4
2018-11-12 08:02:38,IN,3
2018-11-12 08:02:52,IN,4
2018-11-12 08:03:05,IN,4
2018-11-12 08:03:07,IN,4
2018-11-12 08:03:11,IN,3
2018-11-12 08:03:14,IN,4
2018-11-12 08:03:23,IN,1
2018-11-12 08:03:43,IN,2
2018-11-12 08:04:38,IN,1
2018-11-12 08:04:53,IN,1
2018-11-12 08:05:09,IN,3
2018-11-12 08:06:08,IN,1
2018-11-12 08:07:08,IN,1
2018-11-12 08:07:46,IN,1
2018-11-12 08:08:30,IN,2
2018-11-12 08:08:49,IN,3
2018-11-12 08:09:33,IN,1
2018-11-12 08:09:47,IN,3
2018-11-12 08:10:15,IN,1
2018-11-12 08:11:56,IN,2
2018-11-12 08:13:08,IN,2
2018-11-12 08:13:17,IN,4
2018-11-12 08:14:05,IN,2
2018-11-12 08:15:17,IN,2
2018-11-12 08:15:22,IN,3
2018-11-12 08:15:31,IN,2
2018-11-12 08:15:51,IN,2
2018-11-12 08:15:57,IN,4
2018-11-12 08:16:20,IN,4
2018-11-12 08:16:35,IN,2
2018-11-12 08:17:44,IN,1
2018-11-12 08:18:03,IN,4
2018-11-12 08:18:06,IN,2
2018-11-12 08:18:48,IN,2
2018-11-12 08:19:12,IN,2
2018-11-12 08:20:02,IN,4
2018-11-12 08:20:12,IN,1
2018-11-12 08:21:08,IN,3
2018-11-12 08:21:24,IN,2
2018-11-12 08:21:43,IN,2
2018-11-12 08:22:34,IN,3
2018-11-12 08:22:39,IN,2
2018-11-12 08:23:11,IN,1
2018-11-12 08:23:17,IN,1
2018-11-12 08:23:18,IN,1
2018-11-12 08:25:05,IN,4
2018-11-12 08:26:18,IN,2
2018-11-12 08:26:18,IN,1
2018-11-12 08:27:19,IN,1
2018-11-12 08:27:59,IN,2
2018-11-12 08:28:10,IN,1
2018-11-12 08:28:27,IN,1
2018-11-12 08:29:10,IN,3
2018-11-12 08:29:43,IN,1
2018-11-12 08:30:18,IN,3
2018-11-12 08:30:24,IN,4
2018-11-12 08:31:05,IN,2
2018-11-12 08:31:37,IN,3
2018-11-12 08:31:39,IN,3
2018-11-12 08:31:53,IN,3
2018-11-12 08:32:17,IN,4
2018-11-12 08:32:20,IN,2
2018-11-12 08:33:22,IN,3
2018-11-12 08:33:26,IN,2
2018-11-12 08:33:36,IN,2
2018-11-12 08:34:15,IN,1
2018-11-12 08:34:17,IN,2
2018-11-12 08:35:41,IN,4
2018-11-12 08:36:22,IN,3
2018-11-12 08:36:26,IN,4
2018-11-12 08:36:45,IN,3
2018-11-12 08:37:32,IN,2
2018-11-12 08:39:20,IN,3
2018-11-12 08:40:17,IN,1
2018-11-12 08:40:46,IN,1
2018-11-12 08:44:03,IN,2
2018-11-12 08:44:09,IN,3
2018-11-12 08:44:23,IN,4
2018-11-12 08:44:51,IN,4
2018-11-12 08:45:28,IN,1
2018-11-12 08:45:52,IN,4
2018-11-12 08:46:18,IN,3
2018-11-12 08:46:57,IN,1
2018-11-12 08:46:59,IN,4
2018-11-12 08:47:47,IN,3
2018-11-12 08:48:08,IN,2
2018-11-12 08:48:44,IN,4
2018-11-12 08:48:47,OUT,3
2018-11-12 08:49:02,IN,1
2018-11-12 08:49:26,IN,4
2018-11-12 08:49:38,IN,4
2018-11-12 08:51:23,IN,3
2018-11-12 08:51:29,IN,1
2018-11-12 08:51:37,IN,3
2018-11-12 08:51:49,IN,1
2018-11-12 08:51:49,IN,4
2018-11-12 08:52:50,IN,3
2018-11-12 08:53:25,IN,1
2018-11-12 08:54:21,IN,4
2018-11-12 08:55:05,OUT,2
2018-11-12 08:55:41,IN,4
2018-11-12 08:57:15,IN,1
2018-11-12 08:57:47,IN,2
2018-11-12 08:58:19,IN,2
2018-11-12 09:00:29,IN,4
2018-11-12 09:01:09,IN,4
2018-11-12 09:01:16,IN,2
2018-11-12 09:01:19,IN,3
2018-11-12 09:01:38,OUT,4
2018-11-12 09:01:45,IN,1
2018-11-12 09:02:13,IN,2
2018-11-12 09:02:22,IN,4
2018-11-12 09:02:51,IN,2
2018-11-12 09:03:10,IN,2
2018-11-12 09:03:33,IN,2
2018-11-12 09:03:48,IN,4
2018-11-12 09:04:23,IN,4
2018-11-12 09:05:32,OUT,2
2018-11-12 09:06:30,OUT,2
2018-11-12 09:07:33,IN,1
2018-11-12 09:08:31,OUT,4
2018-11-12 09:08:42,IN,2
2018-11-12 09:09:04,IN,2
2018-11-12 09:09:38,IN,2
2018-11-12 09:10:28,IN,1
2018-11-12 09:10:56,OUT,4
2018-11-12 09:11:02,IN,3
2018-11-12 09:11:12,IN,2
2018-11-12 09:12:07,IN,1
2018-11-12 09:13:28,IN,2
2018-11-12 09:13:45,IN,4
